"description","units","source_key","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01"
"East South Central : residential","number of customers","ELEC.CUSTOMERS.ESC-RES.M","8147650","8146790","8166940","8167880","8172790","8188720","8197120","8202800","8200710","8199020","8198800","8208420","8202470","8221220","8229980","8232550","8243340","8256220","8257040","8277040","8267680","8276580","8259400","8260480","8263690","8268680","8304790","8291370","8310290","8329030","8330020","8347690","8330940","8342050","8343750","8339970","8349220","8343290","8357520","8366790","8375450","8386980","8394890","8411670","8393010","8404490","8405980","8405990","8402820","8410670","8425450","8430400","8442810","8446110","8463880","8472290","8471830","8473830","8477090","8469590","8413490","8419390","8454560","8457440","8464430","8498930","8604110","8605940","8613840","8622960","8619030","8625200","8614940","8538190","8688070","8660770","8672430","8694630","8700220","8709860","8710930","8708460","8726230","8723520","8713350","8686320","8749570","8739290","8756160","8774700","8773030","8800000","8786590","8793880","8797700","8778000","8715870","8709390","8749330","8735560","8755430","8768550","8784520","8808810","8820490","8825800","8825200","8819190","8834350","8842720","8868410"
"East South Central : commercial","number of customers","ELEC.CUSTOMERS.ESC-COM.M","1363610","1362390","1364550","1366540","1367340","1370070","1373470","1373610","1375340","1374100","1374430","1376030","1374210","1376230","1376660","1378060","1380710","1383230","1383950","1387280","1385690","1387470","1384570","1385510","1384820","1383930","1390200","1387890","1391200","1396230","1398250","1399160","1396610","1399690","1400060","1399960","1399990","1396510","1399540","1403320","1403500","1405430","1406830","1409090","1406680","1410510","1408150","1409740","1406810","1406390","1408020","1409680","1411200","1414700","1417720","1418930","1417950","1421780","1422090","1421680","1411670","1410490","1417360","1414390","1411530","1417480","1430700","1426030","1430450","1434940","1433990","1435240","1441860","1427840","1450480","1450160","1449200","1456520","1456740","1461440","1461910","1462110","1464650","1468510","1466740","1462190","1474830","1466570","1473070","1475270","1473900","1476620","1475760","1475320","1474750","1472880","1459270","1465560","1464920","1457050","1461620","1461380","1464470","1469530","1471100","1473900","1473120","1470540","1477800","1473930","1478400"
"East South Central : industrial","number of customers","ELEC.CUSTOMERS.ESC-IND.M","26565","26455","26520","26657","26761","27159","27003","27199","26746","26082","26989","26891","26989","27032","27037","26943","27399","27687","27467","27332","26465","25779","26862","26812","27372","27136","27372","27527","27744","28040","27606","28007","26728","26199","27510","27334","26106","25990","26011","26183","26574","26818","26751","26758","25670","24993","25831","25402","24785","24655","24748","24863","25147","25334","24848","25066","24652","23731","24872","24743","24776","24602","24826","24810","24918","25391","24603","24569","24083","23733","24104","24531","24483","23941","24494","24171","24816","25152","24530","24856","24174","23566","24700","24728","24718","24081","24720","24363","24896","25219","25104","25026","24123","23471","24689","24510","24769","24705","24791","24691","25257","25360","25177","25407","24622","23887","24957","25086","24870","24830","24238"
"East South Central : transportation","number of customers","ELEC.CUSTOMERS.ESC-TRA.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"East South Central : other","number of customers","ELEC.CUSTOMERS.ESC-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Alabama","number of customers","ELEC.CUSTOMERS.AL-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Alabama : all sectors","number of customers","ELEC.CUSTOMERS.AL-ALL.M","2543080","2538210","2548540","2548800","2549860","2552580","2556450","2557080","2558630","2558860","2558680","2562080","2561120","2566000","2568620","2569510","2572900","2576440","2572990","2581920","2580920","2581620","2581370","2584810","2582560","2580150","2589320","2581020","2592090","2595760","2596540","2599590","2587450","2599310","2599420","2596240","2602110","2597260","2601200","2603710","2605470","2607970","2607090","2613530","2611910","2614290","2614310","2616070","2615340","2615890","2619440","2621450","2625040","2626390","2630830","2632380","2631110","2635920","2635560","2628270","2639180","2639080","2649000","2650330","2643850","2662700","2667450","2670860","2673620","2675320","2671810","2675220","2672000","2628900","2684780","2684370","2687200","2696170","2699350","2704850","2706770","2707760","2711290","2716250","2701720","2687050","2713540","2710290","2714030","2720920","2719730","2726990","2727870","2729240","2729750","2723470","2741800","2728440","2750260","2748040","2756140","2761030","2762160","2769530","2767420","2772140","2770610","2757180","2779000","2780290","2780920"
"Alabama : residential","number of customers","ELEC.CUSTOMERS.AL-RES.M","2174690","2170830","2179760","2179430","2180750","2182810","2185220","2186330","2187050","2187190","2187240","2190070","2189000","2193100","2195390","2195950","2198950","2201780","2198690","2206590","2205960","2206320","2206000","2209160","2205310","2203860","2211290","2205080","2213920","2217050","2218070","2220710","2210180","2220220","2220190","2217190","2224320","2220420","2223340","2225620","2227100","2229400","2228360","2234410","2233190","2235090","2235430","2236960","2239270","2239920","2243420","2244990","2248210","2250280","2253450","2255060","2254070","2257940","2257120","2249370","2261580","2261500","2268870","2271840","2267410","2283380","2287790","2291180","2293800","2294770","2292390","2294360","2291400","2254250","2302750","2301900","2306550","2311840","2314710","2319250","2320810","2321570","2325610","2328110","2317180","2302950","2325680","2324220","2325950","2332070","2332760","2337580","2338540","2340040","2341860","2335880","2354400","2341210","2360490","2360310","2365640","2369800","2372620","2377780","2377680","2380060","2380490","2369040","2387000","2388240","2389930"
"Alabama : commercial","number of customers","ELEC.CUSTOMERS.AL-COM.M","361185","360193","361572","362141","361854","362478","363941","363435","364275","364402","364185","364777","364904","365674","365980","366313","366645","367343","366973","368035","367692","368031","368123","368400","369259","368315","370022","367891","370086","370616","370361","370767","369226","371050","371186","371000","370494","369543","370560","370759","370966","371144","371321","371718","371374","371885","371580","371807","368854","368765","368808","369226","369568","368822","370079","370037","369773","370747","371211","371680","370367","370356","372888","371268","369191","372032","372378","372411","372579","373330","372224","373646","373401","367485","374810","375258","373412","377035","377361","378320","378689","378975","378464","380932","377353","376922","380656","378882","380852","381572","379697","382139","382085","381979","380691","380383","380207","380041","382573","380540","383257","383973","382293","384484","382502","384861","382915","380934","384816","384876","383817"
"Alabama : industrial","number of customers","ELEC.CUSTOMERS.AL-IND.M","7210","7188","7203","7228","7255","7290","7293","7319","7306","7267","7259","7241","7215","7229","7250","7241","7304","7320","7320","7292","7272","7263","7254","7250","7994","7976","8010","8041","8085","8093","8112","8110","8044","8043","8041","8046","7293","7296","7299","7327","7397","7418","7413","7398","7345","7319","7304","7302","7211","7203","7207","7228","7261","7283","7298","7291","7267","7236","7227","7219","7225","7220","7236","7226","7254","7284","7282","7273","7247","7215","7203","7208","7195","7157","7217","7215","7246","7286","7279","7285","7272","7223","7217","7212","7195","7173","7203","7192","7232","7273","7275","7272","7246","7219","7204","7202","7191","7190","7195","7193","7246","7254","7247","7270","7244","7217","7203","7209","7187","7181","7178"
"Alabama : transportation","number of customers","ELEC.CUSTOMERS.AL-TRA.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Alabama : other","number of customers","ELEC.CUSTOMERS.AL-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Kentucky","number of customers","ELEC.CUSTOMERS.KY-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Kentucky : all sectors","number of customers","ELEC.CUSTOMERS.KY-ALL.M","2249430","2249290","2251030","2249860","2250000","2252440","2255360","2256340","2256510","2257750","2258180","2260860","2259770","2262560","2262730","2263330","2263620","2265630","2267250","2269590","2270270","2271480","2270000","2272170","2272870","2273510","2279010","2277190","2278300","2282950","2281640","2286340","2287710","2287580","2290060","2292410","2286710","2284800","2284680","2286180","2288250","2290750","2293150","2295320","2294250","2300080","2302060","2302130","2298510","2300250","2302020","2302140","2303370","2305410","2307190","2310870","2310860","2313040","2315430","2316270","2311710","2312980","2314370","2316130","2326470","2325060","2341320","2343110","2344500","2348130","2348510","2350520","2345640","2344730","2350850","2351430","2352510","2355050","2355930","2357480","2358100","2360660","2362030","2363200","2361260","2362220","2364220","2358200","2369710","2372520","2369450","2375070","2372620","2373850","2375510","2375590","2335920","2338090","2343050","2337800","2339330","2342020","2344990","2349360","2353410","2354140","2355720","2358560","2360230","2361290","2365830"
"Kentucky : residential","number of customers","ELEC.CUSTOMERS.KY-RES.M","1943680","1943430","1944920","1943710","1943510","1945550","1948010","1948840","1949020","1950340","1950700","1953100","1951500","1954140","1954320","1954660","1954580","1956280","1957710","1959700","1960210","1961260","1960020","1961900","1963090","1963660","1968530","1966870","1967780","1971280","1969450","1973980","1975420","1975070","1977370","1979480","1975390","1974050","1973900","1974940","1976690","1978850","1980760","1982810","1981660","1986220","1988580","1988640","1984830","1986440","1987620","1987560","1988560","1989280","1990520","1993940","1993610","1995390","1997490","1998430","1995490","1996620","1998010","1999750","2009640","2007900","2022590","2024240","2025480","2028380","2028470","2030330","2025320","2024900","2029670","2030190","2030740","2032910","2033380","2034650","2034880","2037020","2038200","2039020","2036960","2038060","2039510","2038010","2045220","2046890","2045570","2051330","2048800","2049840","2051460","2051350","2010260","2010510","2015920","2011290","2012400","2015090","2017200","2020920","2023950","2024950","2025820","2028700","2029450","2031120","2034580"
"Kentucky : commercial","number of customers","ELEC.CUSTOMERS.KY-COM.M","298363","298479","298735","298788","299161","299563","300034","300181","300189","299881","299926","300221","300772","300957","300992","301298","301727","302041","302288","302647","302835","303016","302797","303097","302696","302823","303422","303288","303501","304655","305165","305337","305302","305541","305738","305995","304424","303858","303907","304417","304739","305077","305594","305728","305813","307083","306948","307334","307548","307681","308206","308407","308630","309970","310537","310774","311118","311525","311802","311737","310189","310368","310351","310392","310846","311180","312753","312903","313052","313782","314081","314252","314866","314418","315727","315803","316347","316721","317134","317418","317794","318225","318425","318782","318862","318712","319264","314835","319028","320137","318477","318338","318418","318620","318662","318852","319821","321745","321319","320708","321134","321145","322013","322649","323680","323415","324126","324092","325007","324430","325845"
"Kentucky : industrial","number of customers","ELEC.CUSTOMERS.KY-IND.M","7391","7380","7369","7365","7325","7320","7314","7316","7307","7529","7552","7536","7500","7459","7421","7371","7316","7312","7256","7242","7224","7201","7191","7177","7084","7022","7055","7034","7014","7014","7021","7020","6986","6972","6956","6930","6900","6897","6882","6832","6817","6819","6798","6788","6784","6780","6536","6159","6128","6133","6191","6177","6179","6161","6140","6153","6132","6124","6145","6106","6037","5993","6008","5991","5982","5978","5977","5966","5970","5967","5963","5941","5454","5414","5456","5439","5423","5419","5419","5415","5421","5416","5409","5392","5439","5440","5444","5354","5467","5498","5396","5405","5404","5395","5394","5388","5842","5837","5812","5802","5798","5787","5781","5794","5781","5781","5776","5767","5772","5744","5405"
"Kentucky : transportation","number of customers","ELEC.CUSTOMERS.KY-TRA.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Kentucky : other","number of customers","ELEC.CUSTOMERS.KY-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Mississippi","number of customers","ELEC.CUSTOMERS.MS-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Mississippi : all sectors","number of customers","ELEC.CUSTOMERS.MS-ALL.M","1504880","1506120","1508390","1509560","1510610","1514170","1515810","1516730","1516430","1515470","1516140","1517420","1513170","1516290","1518760","1519000","1521520","1524450","1525090","1528850","1526100","1525480","1526370","1527510","1523440","1521300","1529750","1526580","1531850","1534000","1534400","1536560","1531880","1533760","1534730","1533450","1534230","1530540","1533850","1535700","1538020","1539410","1539150","1543200","1539700","1541600","1541160","1541100","1534500","1533790","1537020","1538480","1540580","1540550","1543700","1545280","1548120","1542770","1546980","1545280","1534870","1534650","1560590","1555880","1549450","1560730","1561860","1552850","1562290","1566630","1565420","1565100","1558400","1510960","1602830","1574320","1576840","1580430","1576380","1582690","1579880","1570940","1589020","1583860","1576890","1559160","1597490","1581230","1583010","1586840","1586710","1590540","1588890","1589130","1592360","1591890","1603360","1602170","1607280","1604710","1612310","1612940","1613530","1618670","1617290","1617760","1618320","1617810","1620170","1622010","1622660"
"Mississippi : residential","number of customers","ELEC.CUSTOMERS.MS-RES.M","1263860","1265440","1267660","1268320","1269300","1271820","1272600","1273140","1273290","1272940","1272740","1273660","1270960","1273400","1275550","1275820","1277540","1279510","1280040","1283100","1281890","1281740","1281410","1282430","1277920","1276780","1283160","1281260","1284920","1286440","1288240","1290020","1285690","1287420","1287030","1286030","1287010","1284200","1286620","1288090","1289750","1290970","1290530","1294050","1292220","1294020","1292930","1292970","1286840","1286580","1289510","1290760","1292280","1292430","1295350","1296620","1300470","1295000","1298170","1297000","1287720","1289300","1310710","1307170","1302390","1311430","1313370","1309090","1315000","1318090","1316880","1316630","1308680","1268500","1349400","1322230","1324930","1326680","1324350","1327580","1326450","1319530","1332890","1327700","1321600","1307890","1339110","1325910","1327060","1329720","1329790","1332960","1332550","1334100","1334710","1334790","1349460","1348650","1352760","1351680","1356850","1357920","1358620","1362760","1362840","1362880","1363030","1363020","1364840","1366330","1367650"
"Mississippi : commercial","number of customers","ELEC.CUSTOMERS.MS-COM.M","230306","230037","230029","230426","230377","231042","232053","232260","232261","232492","232480","232878","231156","231775","232072","232050","232414","233109","233341","234129","233407","233593","233717","233851","234382","233505","235448","234051","235458","235802","234846","234837","235668","236319","236365","236230","236331","235554","236405","236601","236917","236869","237086","237593","236946","237697","237249","237192","237227","236883","237159","237272","237604","237247","237958","238065","237417","238427","238347","237896","236650","234958","239295","238118","236386","238181","238170","233453","237457","239015","238619","238111","238912","232116","242629","241583","240775","242312","241205","243960","242972","241500","245065","245060","244233","240820","247339","244539","244775","245687","245504","246252","245892","245195","246586","246195","243183","242861","243748","242348","244274","243719","243781","244587","243876","245021","244344","243709","244441","244780","244342"
