description,units,source key,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01
Maine : transportation,number of customers,ELEC.CUSTOMERS.ME-TRA.M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine : other,number of customers,ELEC.CUSTOMERS.ME-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Massachusetts,number of customers,ELEC.CUSTOMERS.MA-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts : all sectors,number of customers,ELEC.CUSTOMERS.MA-ALL.M,3192205,3206734,3211524,3210866,3212362,3230443,3212873,3212535,3216197,3213043,3251197,3222982,3128901,3155984,3192721,3140659,3178113,3138474,3169491,3145771,3174523,3137983,3173199,3153832,3178294,3196580,3234387,3197562,3184114,3214053,3188882,3141929,3170236,3154061,3206086,3168525,3186696,3181483,3171351,3162641,3228381,3186435,3256883,3203630,3212693,3207866,3217271,3229286,3210007,3159990,3246898,3214656,3209020,3217567,3241989,3284135,3219007,3211042,3235873,3239202,3228943,3238589,3232938,3239897,3238269,3238224,3266368,3247233,3237105,3259032,3222539,3229358,3275297,3254102,3294208,3273570,3283000,3304029,3292876,3294096,3279703,3235200,3333038,3290291,3308164,3302557,3363315,3220148,3304950,3329338,3319758,3522169,3371232,3354538,3331143,3288191,3330703,3329920,3328940,3274022,3321160,3331130,3337078,3338278,3317311,3351267,3351416,3341718,3350221,3416136,3418064,3343119,3341250
Massachusetts : residential,number of customers,ELEC.CUSTOMERS.MA-RES.M,2773313,2787462,2792236,2792626,2793886,2790777,2793839,2793580,2796546,2793500,2828963,2802288,2715618,2741040,2749279,2727164,2762996,2733704,2753464,2730781,2757138,2724471,2755691,2739000,2760362,2776383,2813099,2776719,2764360,2790718,2768949,2722543,2752160,2738673,2780013,2749877,2778451,2776955,2757989,2749626,2811120,2772113,2836762,2777334,2783457,2780447,2787564,2799096,2790040,2745659,2820739,2794298,2788776,2795845,2817715,2860186,2797251,2789284,2811059,2814325,2807771,2815974,2812083,2818768,2816886,2817251,2845149,2826455,2817839,2829170,2801537,2801716,2832085,2814272,2849917,2832309,2838078,2857354,2848102,2848818,2836148,2797367,2882731,2846516,2862257,2857493,2913609,2792869,2859715,2880914,2871948,3072747,2922571,2905488,2880731,2842637,2878032,2881080,2871507,2868660,2867692,2876039,2880558,2881565,2863176,2892497,2890987,2880163,2889821,2943223,2941671,2884941,2884586
Massachusetts : commercial,number of customers,ELEC.CUSTOMERS.MA-COM.M,404868,405157,405156,404154,404397,425603,404993,404739,405444,405435,408119,406655,399522,401197,429661,399826,401446,391066,402414,401345,403686,399909,403837,401296,407538,409844,410827,410432,409419,412921,409639,409028,407679,405089,415749,408413,397665,393908,402862,402640,406757,403852,409568,415823,418706,416928,419187,419750,408938,403453,415049,409297,409199,410747,413195,412932,410769,410716,413740,413912,410197,411667,409985,410278,410489,410077,410363,409855,408377,418955,410229,416874,432214,428843,433294,430382,433956,435733,433829,434385,432690,427080,439439,432989,435333,434538,439079,417060,434640,437890,437234,438854,438057,438519,439898,435127,442082,438128,446483,394786,442834,444514,445804,446032,443455,448074,449691,451037,449708,462335,466199,447993,446761
Massachusetts : industrial,number of customers,ELEC.CUSTOMERS.MA-IND.M,14021,14112,14129,14083,14076,14060,14038,14213,14204,14105,14112,14036,13759,13745,13779,13667,13669,13702,13611,13643,13697,13601,13669,13534,10392,10351,10459,10409,10333,10412,10292,10356,10395,10297,10322,10233,10578,10618,10498,10373,10502,10468,10551,10471,10528,10489,10518,10438,11027,10876,11108,11059,11043,10973,11077,11015,10985,11040,11072,10963,10973,10946,10868,10849,10892,10894,10854,10921,10887,10905,10771,10766,10996,10985,10995,10877,10964,10940,10943,10891,10863,10751,10866,10784,10572,10524,10625,10217,10593,10532,10574,10566,10602,10529,10512,10425,10587,10710,10948,10574,10632,10575,10714,10679,10678,10694,10736,10516,10690,10576,10192,10183,9901
Massachusetts : transportation,number of customers,ELEC.CUSTOMERS.MA-TRA.M,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Massachusetts : other,number of customers,ELEC.CUSTOMERS.MA-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire,number of customers,ELEC.CUSTOMERS.NH-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire : all sectors,number of customers,ELEC.CUSTOMERS.NH-ALL.M,725082,712184,712219,710517,709010,717757,717027,716396,718788,721967,715666,722258,713566,718835,720856,717360,723443,724239,725901,727490,726151,725999,723944,726598,727762,725650,729352,726402,729030,729466,729544,730143,730751,730130,729164,730713,731096,731418,731906,731215,733616,734222,734866,737533,733581,734986,733789,735570,735643,735790,736136,734769,738154,739397,745671,740389,740085,739144,739125,740064,741490,741621,742164,742708,745824,746237,747147,747443,748010,747929,747116,748091,748089,748568,749528,749350,751461,752702,752904,753194,753821,752459,752104,753216,754434,754422,755333,755588,758124,757854,758039,758308,758524,757726,758012,757046,759287,760781,758893,757556,754488,746572,749163,763597,760241,764600,761499,762298,764360,764617,765051,765461,765875
New Hampshire : residential,number of customers,ELEC.CUSTOMERS.NH-RES.M,615575,603688,603916,602171,600736,608841,607620,608022,608824,612021,605971,612176,604951,609260,611157,608549,613076,613378,615335,615801,615502,615438,614019,616143,618172,615099,617565,616027,618221,618630,618904,619404,619917,619398,618749,620178,620549,620787,621202,620419,622567,623100,623618,625903,622527,624299,622692,624380,624756,624912,625141,623664,626822,627770,633444,628676,628328,627397,627633,628548,629666,629795,630291,630796,633503,633873,634636,634997,635444,635512,634738,635561,635706,636021,636765,636689,638504,639255,639435,639612,640141,638788,638700,639583,640661,640607,641334,641581,643770,643371,643653,643855,644087,644176,644076,643265,645288,646523,644847,643706,640187,634458,636354,648928,645945,649721,647158,647710,649602,649733,650026,650456,651325
New Hampshire : commercial,number of customers,ELEC.CUSTOMERS.NH-COM.M,106194,105229,104990,105049,105002,105636,106162,105131,106695,106657,106425,106816,105395,106349,106442,105592,107115,107610,107308,108421,107391,107294,106670,107199,106344,107331,108529,107159,107573,107619,107424,107527,107588,107517,107228,107380,107355,107450,107525,107617,107879,107943,108091,108438,107896,107518,107923,108017,107685,107682,107805,107912,108142,108432,109019,108508,108568,108559,108312,108331,108654,108639,108694,108729,109137,109184,109330,109280,109374,109240,109203,109350,109214,109376,109588,109495,109793,110263,110285,110387,110494,110484,110212,110439,110599,110631,110811,110821,111179,111309,111211,111295,111273,110367,110811,110659,110876,111139,110923,110735,111188,109040,109693,111546,111169,111741,111222,111470,111634,111763,111900,111898,108826
New Hampshire : industrial,number of customers,ELEC.CUSTOMERS.NH-IND.M,3313,3267,3313,3297,3272,3280,3245,3243,3269,3289,3270,3266,3220,3226,3257,3219,3252,3251,3258,3268,3258,3267,3255,3256,3246,3220,3258,3216,3236,3217,3216,3212,3246,3215,3187,3155,3192,3181,3179,3179,3170,3179,3157,3192,3158,3169,3174,3173,3202,3196,3190,3193,3190,3195,3208,3205,3189,3188,3180,3185,3170,3187,3179,3183,3184,3180,3181,3166,3192,3177,3175,3180,3169,3171,3175,3166,3164,3184,3184,3195,3186,3187,3192,3194,3174,3184,3188,3186,3175,3174,3175,3158,3164,3183,3125,3122,3123,3119,3123,3115,3113,3074,3116,3123,3127,3138,3119,3118,3124,3121,3125,3107,5724
New Hampshire : transportation,number of customers,ELEC.CUSTOMERS.NH-TRA.M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire : other,number of customers,ELEC.CUSTOMERS.NH-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island,number of customers,ELEC.CUSTOMERS.RI-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island : all sectors,number of customers,ELEC.CUSTOMERS.RI-ALL.M,498580,500570,500789,501481,502274,501958,499460,499498,500958,500483,503279,502032,500755,501569,503929,501673,492679,501489,499456,501078,500232,501973,504203,481795,500153,504189,483918,493332,502184,507665,506812,506745,502594,482934,507832,481904,508020,508412,487460,509274,510663,484149,510596,506525,511041,503603,510578,496566,505301,510629,511630,495614,506745,513201,502018,513103,509530,514279,510734,486967,514556,498746,499572,502625,514420,509941,492354,514557,485927,507179,508244,491749,508568,515226,501484,508874,515469,516601,493464,515191,493542,515330,508515,504458,513856,515770,508301,516608,517234,498525,515155,511269,515208,503479,516916,487034,516396,515670,499467,509931,517508,519085,518591,505553,516577,519852,519168,487183,518469,508047,523774,518940,515537
Rhode Island : residential,number of customers,ELEC.CUSTOMERS.RI-RES.M,438621,440043,440298,440985,441788,441310,438963,438935,440176,439792,440169,441203,439774,440763,442768,440770,432349,440821,438709,440145,439235,440966,442851,422925,438796,442445,423717,432056,440987,445530,444830,444825,441084,423128,445561,422524,445693,446187,426979,446894,448202,423960,448137,444229,448438,441887,447934,435532,442806,448200,448588,434089,444593,450231,439722,449953,446765,451064,447809,426769,451043,436452,438156,440118,451287,447620,432204,451797,426023,445400,447324,431444,446882,452507,439689,447154,452967,453981,432728,452802,433110,453176,447031,443806,451879,453055,446315,453894,454613,437956,453523,450542,453367,441464,453945,427652,453653,453064,437900,448422,455453,456758,456418,444022,454360,457129,456936,428050,456239,446094,460260,456031,453206
Rhode Island : commercial,number of customers,ELEC.CUSTOMERS.RI-COM.M,58121,58667,58645,58632,58624,58792,58669,58705,58935,58859,61202,58989,59127,58971,59327,59080,58508,58852,58916,59111,59169,59189,59526,57112,59537,59929,58410,59486,59411,60330,60177,60133,59745,58047,60488,57674,60543,60443,58730,60586,60671,58435,60672,60520,60815,59964,60863,59283,60731,60663,61266,59757,60393,61202,60528,61383,61011,61455,61170,58497,61766,60558,59720,60789,61415,60593,58511,61044,58251,60079,59299,58656,60024,61031,60121,60064,60831,60950,59106,60735,58819,60497,59858,59044,60347,61045,60331,61069,60969,58974,60048,59142,60243,60346,61303,57781,61090,60960,59900,59906,60448,60728,60575,59956,60592,61117,60658,57600,60660,60392,61890,61319,60753
Rhode Island : industrial,number of customers,ELEC.CUSTOMERS.RI-IND.M,1837,1859,1845,1863,1861,1855,1827,1857,1846,1831,1907,1839,1853,1834,1833,1822,1821,1815,1830,1821,1827,1817,1825,1757,1819,1814,1790,1789,1785,1804,1804,1786,1764,1758,1782,1705,1783,1781,1750,1793,1789,1753,1786,1775,1787,1751,1780,1750,1763,1765,1775,1767,1758,1767,1767,1766,1753,1759,1754,1700,1746,1735,1695,1717,1717,1727,1638,1715,1652,1699,1620,1648,1661,1687,1673,1655,1670,1669,1629,1653,1612,1656,1625,1607,1629,1669,1654,1644,1651,1594,1583,1584,1597,1668,1667,1600,1652,1645,1666,1602,1606,1598,1597,1574,1624,1605,1573,1532,1569,1560,1623,1589,1577
Rhode Island : transportation,number of customers,ELEC.CUSTOMERS.RI-TRA.M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rhode Island : other,number of customers,ELEC.CUSTOMERS.RI-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont,number of customers,ELEC.CUSTOMERS.VT-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont : all sectors,number of customers,ELEC.CUSTOMERS.VT-ALL.M,364010,363973,364695,364840,365476,367631,366581,366802,367271,366625,366415,366479,365855,365849,366580,367200,367777,369930,368835,369611,369320,368962,368556,368367,367840,368253,368731,368785,370481,372536,370440,371608,371454,371291,370703,370811,370510,369979,371047,371117,372660,374105,372815,374120,373307,373637,372861,372376,372408,372488,372809,373632,374595,375640,375656,376102,376129,376346,375704,375411,374047,373885,374635,374904,375720,377364,378125,378144,378659,379384,377495,378666,377489,377495,378254,378647,379458,382097,380915,381305,381465,381640,381287,381071,380586,380816,381230,381629,382213,384019,383119,384541,383729,383658,383548,383088,379976,379371,380732,381045,382083,383530,382507,383101,383305,382962,383028,382587,382761,382366,383174,383614,384820
Vermont : residential,number of customers,ELEC.CUSTOMERS.VT-RES.M,310826,310709,311151,311167,311683,313668,312614,312761,313079,312634,312217,312198,311130,310938,311264,311783,312106,313936,312773,313344,312983,312638,312118,311853,311742,311969,312328,312457,313918,315765,313859,314849,314746,314540,313958,313901,313633,313147,313845,313985,315310,316655,315656,316555,315932,316162,315684,315080,314583,314600,314807,315429,316323,317214,317045,317377,317066,317116,316507,316111,315055,314366,314839,315144,315892,317593,318098,318166,318601,319175,317829,318619,317381,317426,317897,318264,318886,321254,320035,320463,320499,320659,320415,320129,319490,319524,319797,320041,320579,322091,321020,322280,321708,321475,321320,320835,318320,317948,318771,319105,319891,321285,320312,320732,320820,320598,320454,320092,320042,319767,320354,320755,321859
Vermont : commercial,number of customers,ELEC.CUSTOMERS.VT-COM.M,52957,53033,53313,53442,53562,53732,53736,53812,53963,53762,53965,54047,54492,54680,55084,55187,55441,55764,55833,56039,56109,56095,56209,56285,55910,56097,56215,56140,56376,56583,56393,56572,56522,56565,56559,56724,56673,56628,56998,56928,57146,57246,56955,57361,57170,57269,56971,57090,57587,57649,57759,57960,58029,58184,58370,58483,58821,58988,58955,59058,58740,59267,59544,59510,59577,59519,59775,59726,59806,59957,59415,59795,59860,59821,60109,60135,60324,60595,60631,60594,60719,60733,60624,60694,60846,61041,61182,61335,61381,61675,61846,62008,61768,61930,61975,62000,61411,61179,61714,61695,61947,61999,61949,62121,62235,62115,62325,62246,62470,62351,62582,62622,62729
Vermont : industrial,number of customers,ELEC.CUSTOMERS.VT-IND.M,227,231,231,231,231,231,231,229,229,229,233,234,233,231,232,230,230,230,229,228,228,229,229,229,188,187,188,188,187,188,188,187,186,186,186,186,204,204,204,204,204,204,204,204,205,206,206,206,238,239,243,243,243,242,241,242,242,242,242,242,252,252,252,250,251,252,252,252,252,252,251,252,248,248,248,248,248,248,249,248,247,248,248,248,250,251,251,253,253,253,253,253,253,253,253,253,245,244,247,245,245,246,246,248,250,249,249,249,249,248,238,237,232
Vermont : transportation,number of customers,ELEC.CUSTOMERS.VT-TRA.M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont : other,number of customers,ELEC.CUSTOMERS.VT-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Middle Atlantic,number of customers,ELEC.CUSTOMERS.MAT-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlantic : all sectors,number of customers,ELEC.CUSTOMERS.MAT-ALL.M,18126362,18144363,18154324,18161461,18164242,18165691,18189263,18183069,18185876,18201843,18202604,18220203,18230214,18233611,18262746,18258943,18259660,18289383,18405967,18291311,18311561,18299025,18312047,18338901,18332366,18324109,18371366,18340198,18367308,18385934,18379515,18393129,18409279,18411697,18443076,18455302,18466109,18477363,18456791,18530508,18518729,18520274,18527517,18539645,18545701,18561012,18569875,18585288,18593639,18599856,18617940,18626012,18636666,18631006,18652639,18658105,18650100,18671302,18701334,18715625,18704954,18709053,18721903,18711142,18704449,18725322,18731210,18729700,18737365,18762264,18752059,18788146,18766492,18749147,18714602,18810563,18821567,18842476,18864658,18867458,18882644,18883144,18842982,18951278,18938981,18900361,19012669,18972535,18960430,18993235,18980385,18976406,18989781,19047876,19071310,19041933,19051570,19007570,19067235,19024348,19067008,19081404,19089799,19115914,19107806,19105695,19106338,19120679,19131298,20751608,20755198,20809034,20790886
Middle Atlantic : residential,number of customers,ELEC.CUSTOMERS.MAT-RES.M,15834883,15847502,15858967,15860417,15862775,15861048,15881155,15878013,15882446,15894772,15897826,15909930,15917200,15922170,15944310,15938328,15936947,15957049,16068029,15958668,15979661,15968599,15982904,16001312,15995541,15988361,16029953,16001996,16027287,16035783,16031697,16042350,16058948,16059547,16085574,16089247,16099813,16108737,16093551,16154783,16143054,16142655,16149475,16166434,16163722,16175167,16191615,16203474,16210017,16209707,16231791,16238856,16247812,16238268,16258278,16257845,16248572,16269119,16295853,16307137,16293478,16296780,16305109,16292262,16289074,16304280,16311914,16303990,16306276,16319960,16309454,16337656,16322245,16309861,16256739,16356835,16367450,16386517,16409420,16417412,16436404,16418991,16414941,16493082,16484306,16454617,16545323,16512506,16499588,16527129,16515130,16512314,16527349,16573507,16594606,16567117,16560017,16535130,16580314,16552805,16583914,16587065,16599869,16626774,16609088,16617712,16632400,16630008,16636152,18159593,18166947,18218256,18199875
Middle Atlantic : commercial,number of customers,ELEC.CUSTOMERS.MAT-COM.M,2247661,2252899,2251670,2257306,2257674,2261104,2264423,2261612,2260089,2263691,2261563,2267066,2269703,2268222,2275252,2277452,2279703,2289264,2294974,2289779,2289047,2287705,2286463,2295031,2295050,2294024,2299523,2296589,2298533,2308579,2306438,2309275,2309006,2310923,2316099,2324789,2335731,2337916,2332758,2345045,2344994,2347087,2347548,2342680,2351610,2355472,2347878,2351395,2352525,2359159,2355385,2356302,2357977,2358111,2359421,2365352,2366543,2367401,2370638,2373839,2376687,2377883,2382035,2384232,2380722,2386008,2384516,2391184,2396617,2407676,2408098,2415961,2410093,2405261,2423484,2419464,2420101,2422361,2421712,2416420,2412700,2430464,2394606,2424343,2421060,2412229,2433506,2426333,2427232,2431384,2430754,2429673,2428200,2439656,2442168,2440657,2456713,2438137,2453404,2437529,2449437,2460024,2455785,2454810,2464549,2454684,2440627,2457284,2461644,2558503,2545337,2547860,2548305
Middle Atlantic : industrial,number of customers,ELEC.CUSTOMERS.MAT-IND.M,43799,43943,43668,43719,43774,43520,43666,43425,43322,43361,43196,43187,43292,43200,43162,43143,42989,43049,42945,42845,42834,42702,42661,42539,41755,41704,41870,41593,41468,41552,41360,41484,41305,41207,41383,41246,30545,30690,30462,30660,30661,30512,30474,30511,30349,30353,30362,30399,31076,30969,30743,30832,30858,34606,34919,34888,34965,34762,34823,34629,34770,34371,34740,34629,34634,35015,34761,34507,34453,34609,34488,34510,34133,34003,34358,34243,33994,33580,33508,33608,33521,33670,33416,33834,33594,33494,33819,33675,33589,34700,34479,34398,34211,34692,34516,34138,34821,34284,33498,33995,33638,34296,34125,34310,34149,33279,33291,33367,33482,33492,42894,42901,42686
Middle Atlantic : transportation,number of customers,ELEC.CUSTOMERS.MAT-TRA.M,19,19,19,19,19,19,19,19,19,NM,NM,20,NM,NM,NM,20,21,21,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,22,19,21,21,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,21,NM,21,21,22,18,18,18,19,19,19,19,21,21,21,21,21,22,22,21,21,21,20,21,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,17,20
Middle Atlantic : other,number of customers,ELEC.CUSTOMERS.MAT-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Jersey,number of customers,ELEC.CUSTOMERS.NJ-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey : all sectors,number of customers,ELEC.CUSTOMERS.NJ-ALL.M,3990467,3995512,3997180,4004149,4013398,4008763,4029626,4019535,4024280,4030197,4030961,4026297,4023779,4015670,4034315,4025298,4025868,4043973,4037172,4042947,4053783,4038475,4046531,4052022,4048853,4041814,4060449,4040563,4064010,4068189,4070372,4066983,4080244,4072623,4086274,4082871,4085338,4087705,4055907,4119380,4100035,4099277,4107772,4103751,4111706,4114320,4114856,4116206,4117952,4119013,4122115,4126100,4128343,4123770,4140072,4135879,4143576,4136106,4152190,4143870,4143591,4148146,4150952,4145386,4144053,4157293,4151089,4154765,4160473,4177698,4174218,4175671,4179785,4175549,4083547,4189772,4194119,4198309,4206647,4204878,4207615,4209970,4210820,4214180,4203312,4197535,4219281,4199940,4209370,4239829,4229964,4226744,4228304,4227521,4226726,4229519,4248662,4239128,4243824,4237500,4239059,4240418,4257561,4264609,4254108,4255078,4263879,4274005,4253547,4274895,4261514,4280287,4276961
New Jersey : residential,number of customers,ELEC.CUSTOMERS.NJ-RES.M,3468320,3471776,3474941,3480284,3487131,3483477,3500868,3494975,3497591,3504644,3504756,3500533,3497491,3492331,3506379,3499528,3500693,3517332,3512152,3515597,3525814,3510077,3519892,3524399,3521036,3515002,3531941,3513722,3535985,3537112,3542319,3537148,3551187,3544220,3556186,3547192,3553643,3555481,3530624,3584420,3566503,3564260,3573858,3575948,3575031,3575540,3579880,3581326,3581944,3577795,3587480,3591427,3594206,3592363,3607609,3600238,3606683,3600258,3614851,3607161,3606761,3609468,3610061,3602868,3605911,3619015,3617520,3618680,3625469,3636439,3634980,3635876,3642958,3639231,3542527,3649943,3652863,3657707,3664871,3662524,3667110,3667656,3668085,3671474,3658849,3655821,3674026,3657277,3665497,3693221,3684047,3682346,3684170,3681735,3684666,3685152,3687847,3691687,3689265,3692208,3693423,3690330,3707537,3714448,3703413,3706181,3714396,3719353,3697259,3720034,3710011,3727688,3725530
